"Timestamp","Age","Millennium Falcon: Smugglers Run","Star Wars: Rise of the Resistance","Savi's Workshop (Handbuilt Lightsabers)","Droid Depot","Oga's Cantina","Docking Bay 7 Food and Cargo","Milk Stand","Ronto Roasters","Kat Saka's Kettle","Dok-Ondar's Den of Antiquities","Black Spire Outfitters","First Order Cargo","Resistance Supply","Creature Stall","Toydarian Toymaker","Disney Parks App","Star Wars: Galactic Starcruiser (2-night, all-immersive adventure)"
"2020/04/06 11:15:01 PM AST","35-44","2","5","1","1","4","3","1","4","1","1","1","1","1","1","1","1","3"
"2020/04/06 11:17:55 PM AST","25-34","4","5","2","4","5","3","3","5","1","4","3","1","3","3","4","4","5"
"2020/04/06 11:36:49 PM AST","35-44","5","5","2","3","5","2","1","3","1","3","2","4","3","2","2","1","1"
"2020/04/06 11:51:48 PM AST","25-34","3","5","5","4","5","4","5","5","5","3","4","3","3","1","1","1","2"
"2020/04/07 12:12:11 AM AST","18-24","3","5","4","4","5","4","5","4","1","4","1","5","2","3","4","1","1"
"2020/04/07 12:21:38 AM AST","25-34","4","5","4","3","4","5","2","5","2","5","2","4","3","2","4","4","3"
"2020/04/07 12:22:31 AM AST","25-34","3","5","4","4","3","4","3","4","3","3","3","2","3","4","3","5","3"
"2020/04/07 12:39:06 AM AST","35-44","5","5","4","3","5","3","4","4","3","5","4","3","3","3","3","5","5"
"2020/04/07 12:58:41 AM AST","18-24","5","5","2","2","4","2","2","4","1","4","4","3","2","4","3","4","4"
"2020/04/07 1:06:29 AM AST","25-34","5","5","5","1","5","4","3","4","4","1","2","1","3","2","4","1","1"
"2020/04/07 1:18:43 AM AST","35-44","3","4","1","1","3","1","1","1","4","1","1","1","2","1","1","1","1"
"2020/04/07 1:25:14 AM AST","25-34","3","5","4","3","3","2","3","4","3","5","3","3","2","4","3","4","3"
"2020/04/07 1:54:57 AM AST","45-54","5","5","5","5","4","4","3","4","3","4","4","4","4","4","4","4","5"
"2020/04/07 2:00:24 AM AST","35-44","5","5","5","4","4","4","1","3","3","3","4","3","3","3","3","5","1"
"2020/04/07 2:46:17 AM AST","45-54","5","5","2","2","2","2","2","2","1","2","2","2","2","2","1","4","5"
